group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
200_with_failures,200,31,1,300,4,45,0.99419,0.995,0.845643,0.765306,0.993054,0.994898,45,0,0.147411
200_with_failures,200,31,2,450,4,55,0.993133,0.994898,0.826664,0.708333,0.991926,0.994792,55,0,0.165262
200_with_failures,200,31,3,600,4,59,0.991929,0.994792,0.813681,0.680851,0.990939,0.994681,59,0,0.177258
200_with_failures,200,32,1,300,4,58,0.995883,1.0,0.79541,0.704082,0.994564,1.0,58,0,0.199154
200_with_failures,200,32,2,450,3,52,0.994564,1.0,0.819381,0.73057,0.993455,1.0,52,0,0.174074
200_with_failures,200,32,3,600,3,82,0.993458,1.0,0.764175,0.568421,0.993,1.0,82,0,0.228825
200_with_failures,200,33,1,300,4,59,0.991316,0.985,0.831583,0.683673,0.99006,0.984694,59,0,0.158477
200_with_failures,200,33,2,450,4,24,0.990061,0.984694,0.877785,0.859375,0.989327,0.984375,23,1,0.111542
200_with_failures,200,33,3,600,3,75,0.989326,0.984375,0.810043,0.587302,0.991623,0.994709,75,0,0.18158
200_with_failures,200,34,1,300,4,84,0.989211,0.98,0.74246,0.55102,0.994808,1.0,84,0,0.252348
200_with_failures,200,34,2,450,3,97,0.9943,1.0,0.743087,0.497409,0.993976,1.0,97,0,0.250889
200_with_failures,200,34,3,600,3,22,0.993318,1.0,0.851293,0.884211,0.992821,1.0,22,0,0.141528
200_with_failures,200,35,1,300,4,52,0.993353,0.995,0.788642,0.729592,0.992871,0.994898,52,0,0.204229
200_with_failures,200,35,2,450,3,74,0.992868,0.994898,0.761966,0.611399,0.992799,0.994819,74,0,0.230833
200_with_failures,200,35,3,600,3,73,0.992796,0.994819,0.753154,0.610526,0.992547,0.994737,73,0,0.239393
250_with_failures,250,1,1,300,4,77,0.994783,0.996,0.768228,0.682927,0.995704,0.995935,0,77,0.227476
250_with_failures,250,1,2,450,3,108,0.995706,0.995935,0.725934,0.55144,0.99455,0.995885,7,96,0.268616
250_with_failures,250,1,3,600,4,67,0.993998,0.995885,0.742639,0.715481,0.993722,0.995816,3,60,0.251083
250_with_failures,250,2,1,300,4,91,0.988063,0.976,0.756948,0.605691,0.986215,0.97561,91,0,0.229267
250_with_failures,250,2,2,450,3,78,0.986254,0.97561,0.790293,0.654321,0.986899,0.979424,78,0,0.196606
250_with_failures,250,2,3,600,3,66,0.986968,0.979424,0.809781,0.704167,0.986571,0.979167,62,1,0.17679
250_with_failures,250,3,1,300,4,74,0.995895,1.0,0.800425,0.699187,0.994545,1.0,74,0,0.19412
250_with_failures,250,3,2,450,4,99,0.993813,1.0,0.76028,0.590909,0.994121,1.0,94,2,0.233841
250_with_failures,250,3,3,600,4,108,0.994012,1.0,0.747169,0.546218,0.992938,1.0,100,4,0.245769
250_with_failures,250,4,1,300,4,52,0.989116,0.976,0.831105,0.764228,0.988254,0.979675,52,0,0.157149
250_with_failures,250,4,2,450,4,101,0.98901,0.979675,0.768627,0.561983,0.993232,0.995868,101,0,0.224605
250_with_failures,250,4,3,600,3,56,0.993233,0.995868,0.843635,0.761506,0.994033,1.0,54,1,0.150398
250_with_failures,250,5,1,300,4,84,0.99223,0.988,0.812836,0.646341,0.991305,0.987805,84,0,0.178469
250_with_failures,250,5,2,450,3,124,0.990472,0.987805,0.773818,0.477366,0.990877,0.987654,124,0,0.217059
250_with_failures,250,5,3,600,3,84,0.991026,0.987654,0.820701,0.6375,0.990034,0.9875,84,0,0.169333
250_with_failures,250,6,1,300,4,68,0.993298,0.992,0.814793,0.715447,0.991951,0.99187,68,0,0.177158
250_with_failures,250,6,2,450,4,125,0.991944,0.99187,0.736201,0.475207,0.9918,0.995868,125,0,0.255599
250_with_failures,250,6,3,600,3,56,0.990355,0.995868,0.842814,0.761506,0.991974,0.995816,55,1,0.14916
250_with_failures,250,7,1,300,4,74,0.996271,1.0,0.780984,0.699187,0.995139,1.0,74,0,0.214155
250_with_failures,250,7,2,450,3,53,0.995138,1.0,0.822249,0.781893,0.994128,1.0,53,0,0.171879
250_with_failures,250,7,3,600,3,80,0.994124,1.0,0.779356,0.666667,0.994585,1.0,78,1,0.215229
250_with_failures,250,8,1,300,4,74,0.989716,0.98,0.814372,0.678862,0.988003,0.979675,74,0,0.173631
250_with_failures,250,8,2,450,4,70,0.988007,0.979675,0.813833,0.690083,0.98748,0.979339,69,0,0.173647
250_with_failures,250,8,3,600,3,36,0.987477,0.979339,0.87065,0.828452,0.989315,0.987448,34,2,0.118665
250_with_failures,250,9,1,300,4,59,0.993697,0.992,0.835096,0.752033,0.992896,0.99187,59,0,0.1578
250_with_failures,250,9,2,450,4,56,0.99293,0.99187,0.828695,0.760331,0.991848,0.991736,56,0,0.163153
250_with_failures,250,9,3,600,4,66,0.991845,0.991736,0.812882,0.714286,0.990845,0.991597,66,0,0.177963
250_with_failures,250,10,1,300,4,89,0.989524,0.98,0.789358,0.617886,0.991789,0.99187,87,1,0.202431
250_with_failures,250,10,2,450,4,44,0.99188,0.99187,0.837513,0.809917,0.991374,0.991736,40,2,0.153861
250_with_failures,250,10,3,600,3,37,0.991374,0.991736,0.860978,0.83682,0.990565,0.991632,37,0,0.129587
